uniq_id,product_id,color,size,price,availability,primary_image_url
0026a093012b5657,xlsImpprod2940211,Toast Of NY,0.15 oz,10.49,in_stock,https://media.ulta.com/i/ulta/1741437
00a35007a08a0b2a,pimprod2039314,Red Flagsiren red,0.10 oz,12.49,in_stock,https://media.ulta.com/i/ulta/2610850
00b7a7d0df3a0cdb,pimprod2026577,Uptightmedium warm nude - matte finish,0.12 oz,21.0,in_stock,https://media.ulta.com/i/ulta/2584541
00c632144eb2dd66,pimprod2032259,Satin Currant Red - 108,0.1 oz,17.0,in_stock,https://media.ulta.com/i/ulta/2595759
00de6b3451906bbd,pimprod2044283,RECITEmuted cayenne​,0.12 oz,20.0,in_stock,https://media.ulta.com/i/ulta/2622311
00e375b80c2a4e27,xlsImpprod16011011,Topped With Brandydeep dirty rose,0.17 oz,26.0,in_stock,https://media.ulta.com/i/ulta/2511602
00e6205ffba33f7c,pimprod2042129,Coffeea light brown on light brown lip tones,0.13 oz,24.0,in_stock,https://media.ulta.com/i/ulta/2628688
00e90f7577780a75,pimprod2009395,Caramellacreme baby pink,0.035 oz,8.0,in_stock,https://media.ulta.com/i/ulta/2626833
00f1cdb8018857b0,pimprod2046747,Rubyberry,0.05 oz,12.0,in_stock,https://media.ulta.com/i/ulta/2617507
010a025760a80ffb,xlsImpprod2940211,Secret Club,0.15 oz,10.49,in_stock,https://media.ulta.com/i/ulta/2557108
0117f5529ef2ee5e,pimprod2039455,660 First Lovedeep raspberry,0.17 oz,13.99,in_stock,https://media.ulta.com/i/ulta/2625513
011c0ccdc6bb14b4,xlsImpprod14411007,Girl Gangplum,0.13 oz,27.0,in_stock,https://media.ulta.com/i/ulta/2306281
0133e56f6c16e482,pimprod2033366,Canyon On Firebright coral,0.15 oz,4.0,in_stock,https://media.ulta.com/i/ulta/2599855
015060bd402cdc1a,xlsImpprod2940211,Rose and Shine,0.15 oz,10.49,in_stock,https://media.ulta.com/i/ulta/2157066
015d43204003a9b5,pimprod2047224,Galabrick rose,0.08 oz,26.0,in_stock,https://media.ulta.com/i/ulta/2629402
01627f6d2885b529,pimprod2037470,Upgradedlight lavender mauve,0.14 oz,35.0,in_stock,https://media.ulta.com/i/ulta/2604776
017cb15257736595,pimprod2038011,12.5NB Callarosy brown,0.12 oz,27.0,in_stock,https://media.ulta.com/i/ulta/2606729
0182d1a43905ba56,xlsImpprod2940211,Wine w/ Everything Creme,0.15 oz,10.49,in_stock,https://media.ulta.com/i/ulta/1741449
01b8a08927fecede,pimprod2022183,Ebony Winedeep wine,0.11 oz,10.75,in_stock,https://media.ulta.com/i/ulta/2578487
01c33ad3a60ced8e,pimprod2043558,Everybody's Heroinebright purple,0.12 oz,25.0,in_stock,https://media.ulta.com/i/ulta/2621525
01d64aca6ec95413,pimprod2040254,Pink Blushcool muted pink,0.12 oz,4.99,in_stock,https://media.ulta.com/i/ulta/2611303
0204559f906a0e47,xlsImpprod4930039,Sheer Mielesheer warm taupe nude,0.10 oz,24.0,in_stock,https://media.ulta.com/i/ulta/2584761
02412fd4de623dab,pimprod2033906,Camilleneutral pink,0.07 oz,35.0,in_stock,https://media.ulta.com/i/ulta/2599318
024421af73ea3fee,pimprod2047224,Night Bloomdeep magenta,0.08 oz,26.0,in_stock,https://media.ulta.com/i/ulta/2629399
